path,title,main_keyword,slug,word_count
content/dog-care/01-how-to-stop-puppy-biting-at-3-months.md,"How to Stop Puppy Biting at 3 Months","how to stop puppy biting at 3 months",how-to-stop-puppy-biting-at-3-months,1351
content/dog-care/02-best-daily-routine-for-senior-dog-with-arthritis.md,"Best Daily Routine for a Senior Dog with Arthritis","best daily routine for senior dog with arthritis",best-daily-routine-for-senior-dog-with-arthritis,1347
content/dog-care/03-how-often-should-you-bathe-a-golden-retriever.md,"How Often Should You Bathe a Golden Retriever?","how often should you bathe a golden retriever",how-often-should-you-bathe-a-golden-retriever,1339
content/dog-care/04-home-remedies-for-dog-itchy-paws-after-walks.md,"Home Remedies for Dog Itchy Paws After Walks","home remedies for dog itchy paws after walks",home-remedies-for-dog-itchy-paws-after-walks,1340
content/dog-care/05-how-to-clean-dog-ears-at-home-safely.md,"How to Clean Dog Ears at Home Safely","how to clean dog ears at home safely",how-to-clean-dog-ears-at-home-safely,1351
content/dog-care/06-crate-training-schedule-for-working-dog-owners.md,"Crate Training Schedule for Working Dog Owners","crate training schedule for working dog owners",crate-training-schedule-for-working-dog-owners,1318
content/dog-care/07-how-to-reduce-dog-shedding-in-apartment.md,"How to Reduce Dog Shedding in an Apartment","how to reduce dog shedding in apartment",how-to-reduce-dog-shedding-in-apartment,1319
content/dog-care/08-best-way-to-remove-dog-urine-smell-from-carpet.md,"Best Way to Remove Dog Urine Smell from Carpet","best way to remove dog urine smell from carpet",best-way-to-remove-dog-urine-smell-from-carpet,1394
content/dog-care/09-how-to-calm-dog-during-thunderstorms-naturally.md,"How to Calm a Dog During Thunderstorms Naturally","how to calm dog during thunderstorms naturally",how-to-calm-dog-during-thunderstorms-naturally,1319
content/dog-care/10-best-tick-prevention-for-dogs-in-backyard.md,"Best Tick Prevention for Dogs in Backyards","best tick prevention for dogs in backyard",best-tick-prevention-for-dogs-in-backyard,1308
content/dog-care/11-how-to-stop-puppy-whining-in-crate-at-night.md,"How to stop puppy whining in crate at night","how to stop puppy whining in crate at night",how-to-stop-puppy-whining-in-crate-at-night,1292
content/dog-care/12-best-brushing-schedule-for-short-hair-dogs.md,"Best brushing schedule for short hair dogs","best brushing schedule for short hair dogs",best-brushing-schedule-for-short-hair-dogs,1249
content/dog-care/13-how-to-clean-dog-paws-after-rainy-walks.md,"How to clean dog paws after rainy walks","how to clean dog paws after rainy walks",how-to-clean-dog-paws-after-rainy-walks,1271
content/dog-care/14-dog-bath-routine-for-sensitive-skin.md,"Dog bath routine for sensitive skin","dog bath routine for sensitive skin",dog-bath-routine-for-sensitive-skin,1220
content/dog-care/15-how-to-trim-black-dog-nails-safely.md,"How to trim black dog nails safely","how to trim black dog nails safely",how-to-trim-black-dog-nails-safely,1242
content/dog-care/16-remove-tear-stains-on-white-dogs-at-home.md,"Remove tear stains on white dogs at home","remove tear stains on white dogs at home",remove-tear-stains-on-white-dogs-at-home,1266
content/dog-care/17-how-to-deodorize-smelly-dog-bed-naturally.md,"How to deodorize smelly dog bed naturally","how to deodorize smelly dog bed naturally",how-to-deodorize-smelly-dog-bed-naturally,1249
content/dog-care/18-dog-grooming-checklist-for-beginners.md,"Dog grooming checklist for beginners","dog grooming checklist for beginners",dog-grooming-checklist-for-beginners,1201
content/dog-care/19-how-to-remove-dog-mats-behind-ears.md,"How to remove dog mats behind ears","how to remove dog mats behind ears",how-to-remove-dog-mats-behind-ears,1244
